path,ssName,ssRegion,ssId,confidence
Speedball (Europe) (Rev 1).zip,Speedball,eu,959,
"SpellCaster (USA, Europe, Brazil).zip",Spellcaster,,18529,
"Spider-Man (USA, Europe, Brazil).zip",Spider-Man,,866,
"Spider-Man - Return of the Sinister Six (Europe, Brazil).zip",Spider-man - Return Of The Sinister Six,,18531,73
Sports Pad Football (USA).zip,Sports Pad Football,us,44282,79
"Spy vs Spy (USA, Europe, Brazil).zip",Spy Vs Spy,,931,
"Star Wars (Europe, Brazil).zip",Star Wars,,787,46
"Streets of Rage (Europe, Brazil).zip",Streets Of Rage,,773,
"Streets of Rage II (Europe, Brazil).zip",Streets Of Rage 2,,777,54
"Strider (USA, Europe, Brazil).zip",Strider,,871,
"Strider II (Europe, Brazil).zip",Strider 2,,908,
"Submarine Attack (Europe, Brazil).zip",Submarine Attack,,920,60
Sukeban Deka II - Shoujo Tekkamen Densetsu (Japan).zip,Sukeban Deka 2 - Shoujo Tekkamen Densetsu,jp,44285,84
"Summer Games ~ Jogos Olimpicos (Europe, Brazil).zip",Summer Games,,960,
Super Basketball (USA) (Sample).zip,Super Basketball,us,44286,63
"Super Kick Off (Europe, Brazil) (En,Fr,De,Es,It,Nl,Pt,Sv).zip",Super Kick Off,,18532,37
Super Monaco GP (USA).zip,Super Monaco Gp,us,837,75
Super Off Road (Europe).zip,Super Off Road,eu,44288,68
Super Racing (Japan).zip,Super Racing,jp,44289,67
Super Smash T.V. (Europe).zip,Super Smash T.v.,eu,971,67
Super Space Invaders (Europe).zip,Super Space Invaders,eu,44290,75
"Super Tennis (USA, Europe).zip",Super Tennis,"us,eu",760,57
"Superman - The Man of Steel (Europe, Brazil).zip",Superman - The Man Of Steel,,889,69
T2 - The Arcade Game (Europe).zip,T2 - The Arcade Game,eu,948,75
Taito Chase H.Q. (Europe).zip,Taito Chase H.Q.,eu,859,71
"Taz-Mania (Europe, Brazil).zip",Taz In Escape From Mars,,18534,42
Tecmo World Cup '93 (Europe).zip,Tecmo World Cup '93,eu,18535,75
"Teddy Boy (USA, Europe, Brazil).zip",Teddy Boy,,830,
"Tennis Ace ~ Super Tennis (Europe, Brazil).zip",Tennis Ace,,902,
Tensai Bakabon (Japan).zip,Tensai Bakabon,jp,44268,70
Terminator 2 - Judgment Day (Europe).zip,Terminator 2 - Judgment Day,eu,18536,81
"Terminator, The (Europe).zip","Terminator, The",eu,811,70
