system,path,name,ssId,region,desc,rating,releasedate,developer,publisher,genre,players,3dboxes,physicalmedia,marquees,videos,screenshots,titlescreens,fanarts
atari2600,"Big Bird's Egg Catch (Japan, USA).zip",Yes,14011,"us,jp",Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Big Bird's Egg Catch (Japan, USA) (Beta) (1982-12-08).zip",,,,,,,,,,,,,,,,,
atari2600,"Big Bird's Egg Catch (Japan, USA) (Beta) (1983-05-02).zip",,,,,,,,,,,,,,,,,
atari2600,"Big Bird's Egg Catch (Japan, USA) (Beta) (1983-05-17).zip",,,,,,,,,,,,,,,,,
atari2600,Bionic Breakthrough (USA) (Proto).zip,Yes,51189,us,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,
atari2600,Black Jack (Europe).zip,Yes,14083,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Black Jack (USA).zip,Yes,14083,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Blueprint (Europe).zip,Yes,37688,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Blueprint (USA).zip,Yes,37688,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Blueprint (USA) (Beta).zip,Yes,37688,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,BMX Air Master (Australia).zip,Yes,51332,au,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,BMX Air Master (Europe).zip,Yes,51332,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,BMX Air Master (USA).zip,Yes,51332,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bobby is Going Home (Brazil) (NTSC) (Unl).zip,Yes,87710,br,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bobby is Going Home (Brazil) (PAL) (Unl).zip,Yes,87710,br,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bobby is Going Home (Europe).zip,Yes,87710,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bobby is Going Home (Europe) (Beta).zip,Yes,87710,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bobby is Going Home (USA).zip,Yes,87710,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Boggle (USA) (Proto) (1978-08-07).zip,Yes,51190,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Boing! (Europe).zip,Yes,37689,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Boing! (USA).zip,Yes,37689,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bouncin' Baby Bunnies (USA) (Proto).zip,Yes,200223,us,Yes,,Yes,,Yes,,Yes,Yes,,,,Yes,,
atari2600,Bowling (Europe).zip,Yes,14053,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bowling (USA).zip,Yes,14053,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Boxen (Germany) (En).zip,Yes,14084,de,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Boxing (Brazil) (Unl).zip,Yes,14084,br,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Boxing (Europe).zip,Yes,14084,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
